d1, d2, d3, $<throughput
0,36,1,11319.650773378915
0,36,2,11408.485340274367
1,36,1,10270.302325549283
1,36,2,10234.297014001118
2,36,1,9377.17142470096
2,36,2,9369.434667069796
3,36,1,8715.213895895404
3,36,2,8580.965687153495
4,36,1,8016.554062287
4,36,2,8312.06707596083
5,36,1,7557.686448944704
5,36,2,7517.804065791123
6,36,1,7298.125343387745
6,36,2,7401.1875864188105
7,36,1,6795.028201262849
7,36,2,6845.719007609605
0,35,3,11340.66326889561
0,35,4,11393.738543182872
0,25,3,12833.453830203323
0,25,4,12890.457164938523
0,22,3,13931.330419996242
0,22,4,13872.03334146321
0,19,3,14767.255269978796
0,19,4,14721.285766803145
0,15,3,15356.683172656805
0,15,4,15515.878663024825
0,14,3,16031.467883589828
0,14,4,16056.817498308656
0,8,3,16568.986468607643
0,8,4,16601.920449726633
0,7,3,17034.39777627752
0,7,4,17272.005643620934
1,35,3,10256.625770734874
1,35,4,10238.254281258023
1,25,3,11426.7722277827
1,25,4,11405.170252020755
1,22,3,12277.479552063145
1,22,4,12180.17826578096
1,19,3,12946.601676393775
1,19,4,12921.547959564234
1,15,3,13457.375114838627
1,15,4,13472.252905671156
1,14,3,13779.848760005778
1,14,4,13838.276177937067
1,8,3,14326.599436947909
1,8,4,14248.845836790262
1,7,3,14729.985064326898
1,7,4,14575.792751014696
2,35,3,9428.891130750235
2,35,4,9382.310203539313
2,25,3,10279.134798316449
2,25,4,10325.003310332868
2,22,3,10953.611796124707
2,22,4,10945.308823350197
2,19,3,11526.95749389907
2,19,4,11425.389290516898
2,15,3,11980.980851373151
2,15,4,11851.074887657072
2,14,3,12296.477481339669
2,14,4,12229.364387756184
2,8,3,12658.382139358604
2,8,4,12623.262884755006
2,7,3,12883.91379718464
2,7,4,12812.365678641587
3,35,3,8725.697832099675
3,35,4,8672.107199261056
3,25,3,9487.705857315666
3,25,4,9509.97560683649
3,22,3,10037.581975667259
3,22,4,9975.371098044689
3,19,3,10599.667090192688
3,19,4,10400.444951835929
3,15,3,10798.600249800242
3,15,4,10718.020937309424
3,14,3,11093.508183777943
3,14,4,11040.028987777618
3,8,3,11354.21320920695
3,8,4,11483.415929073235
3,7,3,11690.454540734152
3,7,4,11733.605068983192
4,35,3,8226.139983908222
4,35,4,8451.02907576807
4,25,3,8974.02582285443
4,25,4,8832.957994302065
4,22,3,9339.9048056728
4,22,4,9471.294272981411
4,19,3,9730.761657541989
4,19,4,9812.582394353178
4,15,3,10142.374146062544
4,15,4,10001.96688178632
4,14,3,10324.038616818258
4,14,4,10128.258802237435
4,8,3,10462.920725915188
4,8,4,10312.747358851055
4,7,3,10587.580973890756
4,7,4,10514.287282128169
5,35,3,7691.15976304795
5,35,4,7692.690066343621
5,25,3,8633.435143376264
5,25,4,8616.833065252886
5,22,3,9114.318214668463
5,22,4,8964.429305874019
5,19,3,9273.632694413147
5,19,4,9137.2560612815
5,15,3,9640.705808682296
5,15,4,9411.552274967851
5,14,3,9716.522949802435
5,14,4,9554.710348850673
5,8,3,9778.274630599128
5,8,4,9705.385812272203
5,7,3,9967.76277994078
5,7,4,9814.788521723387
6,35,3,7485.1330679972925
6,35,4,8037.473524331133
6,25,3,8860.031153127658
6,25,4,8860.594678758702
6,22,3,8887.40188040591
6,22,4,8920.456226707121
6,19,3,9128.59310165109
6,19,4,9265.464701293342
6,15,3,9114.073752178492
6,15,4,9062.687174510304
6,14,3,9158.861448304975
6,14,4,9145.605933634011
6,8,3,9439.104421095091
6,8,4,9662.810320235467
6,7,3,9804.637326377055
6,7,4,9637.292915837515
7,35,3,7324.567321437915
7,35,4,7409.94458890119
7,25,3,8772.19597606528
7,25,4,8733.920789597165
7,22,3,8559.125085891355
7,22,4,8805.849020331816
7,19,3,9250.4213638622
7,19,4,9180.421530823889
7,15,3,9300.646031801989
7,15,4,9262.767635420816
7,14,3,9294.050962461852
7,14,4,9440.058894639433
7,8,3,10029.458839422268
7,8,4,9313.484877683894
7,7,3,9829.822070430022
7,7,4,9748.20959508472
8,25,3,8249.565410625537
8,25,4,8523.060822228284
8,22,3,8395.676541922521
8,22,4,8416.591122430835
8,19,3,8461.72010017123
8,8,3,9120.1462401587
8,8,4,9058.965030765274
8,7,3,9496.768713998617
8,7,4,9485.325183691171
0,1,5,34987.53448202147
0,2,5,26096.239203640067
0,4,5,20619.336226728352
0,8,5,17320.253196128277
0,16,5,14797.688634241345
0,32,5,13181.080915492148
0,64,5,11418.273538216858
1,1,5,25862.170869158956
1,2,5,20548.74015319655
1,4,5,17096.649726739648
1,8,5,14779.48984378354
1,16,5,12936.182428749826
1,32,5,11385.08081670301
1,64,5,10397.043732532346
2,1,5,20775.882279493057
2,2,5,17119.080756802774
2,4,5,14761.34349907303
2,8,5,12968.561839338907
2,16,5,11506.604876635729
2,32,5,10347.907249363318
2,64,5,9634.041019189786
3,1,5,17261.396712249905
3,2,5,14721.868047896392
3,4,5,13064.876679338213
3,8,5,11547.865974386159
3,16,5,10393.886622466745
3,32,5,9493.948551022511
3,64,5,8851.74204589342
4,1,5,15232.385724444262
4,2,5,13425.107201481344
4,4,5,11846.176490849204
4,8,5,10600.796959901241
4,16,5,9668.374447077267
4,32,5,9090.7755474163
4,64,5,8131.0243872619185
5,1,5,14695.56112656734
5,2,5,13045.834695390771
5,4,5,11674.709135820845
5,8,5,10513.255294154187
5,16,5,9781.036168698962
5,64,5,7906.630861815616
6,1,5,14403.620738624726
6,2,5,12950.037255230502
6,4,5,11673.253734331303
6,8,5,10904.10472052862
6,64,5,7800.147819977325
7,1,5,15311.126042946536
7,2,5,13230.496100611275
7,4,5,13151.92016042484
7,8,5,13021.919573371059
8,1,5,13266.239901669867
8,2,5,13742.11672840912
8,4,5,12816.39355768265
